ClassTissuePost,ClassTissuePre,ClassTissueFlair,ClassTumorPost,ClassTumorPre,ClassTumorFlair,ClassEdemaPost,ClassEdemaPre,ClassEdemaFlair
0.14381313,0.08951645,0.04687624,1.8904978,1.0552083,1.2168523,0.7576501,1.0211203,1.3010262
0.03425218,0.04202118,0.016148102,1.5899732,1.2235359,1.4780926,1.1077698,1.2151604,1.2057362
0.47832307,0.35491735,0.06464043,1.4347723,1.293376,1.5939397,0.98117316,1.1311293,1.513394
0.9949791,1.1716077,1.1896608,1.5624493,1.0567307,1.1238401,0.9658895,1.3560312,1.4748043
1.097197,1.071862,1.0143422,1.976767,1.048228,1.6571652,1.2061241,1.2292154,1.2383044
1.0344384,0.86863065,0.32696658,1.0974257,1.0651846,1.2057105,1.0339456,1.0101044,1.221455
0.7709553,0.7631498,0.99740154,2.2931266,1.2448441,1.622928,0.9216869,1.0389565,1.634012
0.8319097,1.0642756,1.1075479,1.4901483,1.2117991,1.3565906,1.0228792,1.1924783,1.502342
1.2110121,1.0267546,0.9358081,1.379069,1.2203207,1.5816274,0.9849956,1.0929252,1.011879
0.18724832,0.22354205,0.28033462,1.2015296,1.1579326,1.8118562,1.0510361,1.1475132,1.4288179
1.0183238,0.60917586,0.34694296,1.7291354,1.2042772,1.3603829,0.9383954,1.069448,1.7791965
0.7663515,0.31181258,0.4145397,1.8885621,0.930067,1.1283602,0.95386213,1.0818706,1.4875872
0.9420173,0.6742847,0.50815016,1.9453391,1.3721542,1.4878135,0.85169625,1.0253386,1.5295386
0.031223703,0.02857886,0.07189717,2.1460192,1.5126451,1.8740042,1.0726094,1.1271693,1.2674528
0.8329266,0.6445379,0.4553184,1.5823375,1.4259249,1.7051289,1.0520962,1.0956655,1.5793791
0.30277377,0.18737344,0.048680127,1.4619651,1.0895686,1.6681874,1.1322082,1.1822207,1.3469326
0.96829313,0.9117544,1.0815582,1.7615472,0.8097892,1.0597849,1.2419044,1.1771282,1.0992671
1.6058533,0.71297944,0.73000926,1.8564852,1.2369324,1.5678427,1.2593894,1.2436584,1.6780586
1.3296641,1.0407226,0.9496648,1.810971,0.9902925,0.85944283,1.0307416,1.1214921,1.3313429
1.0902959,1.1677659,1.0750831,1.7504947,1.143346,1.4264759,1.0085185,1.0946751,1.6140913
0.2936927,0.16322176,0.045211285,1.4056165,1.2580736,1.5249234,0.8386184,1.0633184,1.6761463
0.9466279,1.1218866,1.0672735,2.4188957,1.3662088,1.8606958,1.1562159,1.1819422,1.2806785
1.026851,1.1563721,1.1128173,1.5025427,0.9690966,1.1266985,1.0783023,1.1533984,1.2260836
1.1576288,1.2022151,1.0315429,1.7787751,1.201483,1.4729012,0.920154,0.9807401,1.7523607
0.0,0.08809585,0.042424608,1.6048548,1.8177156,1.866329,1.044504,1.0779173,1.5042598
0.83067065,1.0176401,1.1158353,1.45085,1.3827246,1.6566348,0.8874525,1.039454,1.7015972
1.0071573,1.1064723,1.1055598,1.8758875,1.5901271,1.8883647,1.0864905,1.1795443,1.434859
0.51331174,0.45461386,0.021557199,1.4031198,0.9721033,0.9738204,1.1605444,1.1490724,1.3483833
1.1207237,1.1983764,1.0351737,2.2013495,1.2305491,1.6153495,1.0218164,1.0749584,1.6117035
0.11049591,0.10153847,0.04765297,1.5139096,1.0084336,1.0110048,0.9327511,1.0204275,1.214283
0.2499694,0.23003082,0.096979186,1.685214,1.6118593,2.0713377,1.1119125,1.0655048,1.2735682
1.2753258,0.93402654,0.3203667,1.9272951,0.92775244,0.9796241,1.0989487,1.1477503,1.4035635
1.1125246,1.0877367,1.0783671,1.3371341,1.1638997,1.419839,1.0217397,1.0525068,1.6146518
0.98496187,1.149193,1.0255098,2.0547016,1.1812971,1.7074999,1.0173316,1.0765926,1.401346
0.86879134,0.76671153,0.4942265,1.876429,1.1116247,1.7426349,1.0964826,1.1904957,1.3109483
0.46089286,0.37448993,0.15417814,1.2599049,0.809987,0.9480186,0.84018695,0.96263313,1.7073702
1.0888047,1.0584464,0.9727402,1.895119,1.2096081,1.5639516,0.9007807,1.011504,1.7859844
0.60720795,0.80491483,0.7507568,1.3270074,1.0130084,1.1313345,1.0936346,1.1930522,1.1955354
0.020879986,0.020223048,0.038534697,0.7872052,0.6741088,0.37764025,1.0236797,1.1228973,1.1586356
1.1018252,1.1654668,1.0211724,1.5006396,0.76189965,0.9149244,0.8621678,0.9925524,1.6269475
0.9620931,1.042517,0.9935989,1.4093971,1.0345579,1.8183534,0.8619751,0.95502234,1.6583652
1.044372,1.0975999,0.96212155,1.7790304,0.91929454,1.0865549,1.1113374,1.1794297,1.1836712
0.23525622,0.58511263,0.1441863,1.2686635,0.7456025,0.9232599,0.6745901,0.9696623,0.44495335
0.9935579,1.173017,1.0891421,1.3177788,0.9644534,1.2962468,1.0265813,1.107913,1.4684
0.8324467,0.7245435,0.1602275,1.8819782,0.97966194,1.0155928,1.1150712,1.1414133,1.0854752
1.107745,1.1634387,1.1028787,1.9712236,1.0296527,1.1475514,0.86301076,0.954544,1.6481589
0.1366153,1.5309459,1.0999477,1.7361623,1.2974735,1.8262887,0.8717788,1.0164086,1.6322948
1.1683767,1.1016839,1.050393,1.5468276,0.9986589,1.3312572,1.0394721,1.0802616,1.1924608
1.0052404,1.1632456,1.0766759,1.3520108,1.2743752,1.5674224,1.0453333,1.0798206,1.4246285
0.27409038,0.25879112,0.10760615,1.3150731,1.4293312,1.5117409,1.0544828,1.1572192,1.5589706
0.091864325,0.23308228,0.22415353,2.2315447,1.1027019,1.236466,0.86008817,1.0152771,1.6470842
0.40912253,0.18647222,0.061510578,1.9933581,1.079188,1.630185,1.1497648,1.2067765,1.3676572
0.6809542,0.33644554,0.19613838,1.8024086,1.120103,1.6890893,1.0856918,1.1841111,1.3199512
0.02320268,0.13535982,0.071752764,1.4273049,0.9738862,1.1390795,0.8361445,1.0421709,1.682591
1.1205882,0.8188783,0.30719373,1.0985086,0.8934616,0.52130604,0.7770593,0.89827096,0.9895947
1.0272326,1.1198971,1.0525376,1.1749021,1.1405493,1.2998803,1.0088166,1.131362,1.2675554
0.60917515,0.5654024,0.3621247,1.5883797,1.2089181,1.7137316,0.93988574,1.0676866,1.6899437
0.5715333,0.564136,0.17113627,1.7038106,0.926752,1.1449741,1.134672,1.1779578,1.3572372
0.71050614,0.54663646,0.2569938,1.4262815,1.2890782,1.8361224,0.91717213,0.9607316,1.7530912
1.150297,1.0819083,1.0122294,1.6836017,1.1260341,1.2535874,1.1284624,1.1308157,1.4112939
1.3458301,0.6517352,0.48784056,1.8378838,1.1478627,1.1546161,0.933372,1.1014682,1.6245351
0.53166145,0.96227413,0.31662804,1.2756287,1.1588376,1.2543648,1.0474008,1.1804105,1.2331469
0.953508,0.8313499,0.91265595,1.9133866,0.8785932,0.9537819,1.1269922,1.1751119,1.3499067
0.13218205,0.23915601,0.06888216,1.3139191,1.175985,1.2288057,1.1239678,1.2377719,1.2831025
0.1521731,0.19829029,0.13793781,1.4623355,1.8325007,2.037111,0.90182805,1.0537997,1.6507748
0.52557725,0.23368609,0.09582912,1.8262161,0.71495664,0.6557847,0.8639657,1.0367067,1.6090595
0.20481181,0.23267528,0.022042075,1.5125511,1.1459733,1.0495135,0.9930208,1.048458,1.3356481
0.0036505633,0.2208389,0.023715572,1.4750733,1.1551253,1.3856927,1.0280488,1.183883,1.3099972
1.0262086,1.1435698,1.0933644,1.6327606,0.9085546,1.0221484,0.84417886,1.0215073,1.6460469
